filename,RA,DEC,Lens,Unsure,Not_lens
01404_7.5823_-6.6409_VariabilityMap_ri.png,7.5823,-6.6409,0,0,1
01813_299.9948_42.2296_VariabilityMap_ri.png,299.9948,42.2296,0,0,1
01665_90.9712_-13.6344_VariabilityMap_ri.png,90.9712,-13.6344,0,0,1
02422_130.9148_-7.8815_VariabilityMap_ri.png,130.9148,-7.8815,0,0,1
01169_225.7376_2.6549_VariabilityMap_ri.png,225.7376,2.6549,0,0,1
02507_211.1100_-25.4303_VariabilityMap_ri.png,211.11,-25.4303,0,0,1
00970_295.8893_33.5241_VariabilityMap_ri.png,295.8893,33.5241,0,1,0
01345_321.8612_20.5577_VariabilityMap_ri.png,321.8612,20.5577,0,0,1
01933_352.8436_51.1917_VariabilityMap_ri.png,352.8436,51.1917,0,0,1
00994_272.7080_9.1007_VariabilityMap_ri.png,272.708,9.1007,0,0,1
01862_55.2862_39.0703_VariabilityMap_ri.png,55.2862,39.0703,0,0,1
02171_276.2657_-12.7917_VariabilityMap_ri.png,276.2657,-12.7917,0,0,1
01140_102.6507_36.3719_VariabilityMap_ri.png,102.6507,36.3718,0,0,1
01218_74.5486_46.8597_VariabilityMap_ri.png,74.5485,46.8596,0,0,1
02482_246.3377_11.4530_VariabilityMap_ri.png,246.3377,11.453,0,0,1
01963_285.5463_-2.3220_VariabilityMap_ri.png,285.5462,-2.322,0,1,0
01657_268.3017_-23.4309_VariabilityMap_ri.png,268.3017,-23.4309,0,0,1
01353_283.2823_-17.5030_VariabilityMap_ri.png,283.2823,-17.503,0,0,1
02486_13.9757_58.3711_VariabilityMap_ri.png,13.9757,58.3711,0,0,1
01231_107.7048_7.0522_VariabilityMap_ri.png,107.7048,7.0522,0,0,1
01735_88.7028_-14.2186_VariabilityMap_ri.png,88.7028,-14.2186,0,0,1
02299_267.5628_-26.6054_VariabilityMap_ri.png,267.5628,-26.6054,0,0,2
00888_205.9593_-2.0247_VariabilityMap_ri.png,205.9593,-2.0247,0,0,1
02437_296.9329_13.3641_VariabilityMap_ri.png,296.9329,13.3641,0,0,1
01707_144.6823_-19.8100_VariabilityMap_ri.png,144.6823,-19.81,0,0,1
02193_299.2237_20.2044_VariabilityMap_ri.png,299.2237,20.2044,0,0,1
01828_310.5999_30.6041_VariabilityMap_ri.png,310.5999,30.6041,0,0,1
01873_8.6608_49.0634_VariabilityMap_ri.png,8.6608,49.0634,0,0,1
01597_289.3030_54.9103_VariabilityMap_ri.png,289.303,54.9103,0,0,1
02452_298.1792_-11.2874_VariabilityMap_ri.png,298.1792,-11.2874,0,0,1
01459_108.5254_1.0522_VariabilityMap_ri.png,108.5254,1.0522,0,0,1
00774_51.1088_38.7626_VariabilityMap_ri.png,51.1088,38.7626,0,0,1
01827_300.9519_40.5186_VariabilityMap_ri.png,300.9519,40.5186,0,0,1
01357_282.8530_-7.0210_VariabilityMap_ri.png,282.853,-7.021,0,0,1
02521_288.3539_10.8410_VariabilityMap_ri.png,288.3539,10.841,0,0,1
00954_127.5656_-7.3661_VariabilityMap_ri.png,127.5656,-7.3661,0,0,1
01864_285.2091_-25.3325_VariabilityMap_ri.png,285.2091,-25.3325,0,0,1
01234_286.7884_26.4294_VariabilityMap_ri.png,286.7884,26.4294,0,0,1
02003_65.2692_30.4884_VariabilityMap_ri.png,65.2692,30.4884,0,0,1
01467_275.7624_-14.9637_VariabilityMap_ri.png,275.7624,-14.9637,0,0,1
01386_269.8250_34.9912_VariabilityMap_ri.png,269.825,34.9912,0,0,1
01919_100.7002_1.7911_VariabilityMap_ri.png,100.7002,1.7911,1,0,0
01743_260.7837_2.3644_VariabilityMap_ri.png,260.7837,2.3644,0,0,1
01875_61.3230_24.0575_VariabilityMap_ri.png,61.323,24.0575,0,0,1
02173_127.5073_-27.8839_VariabilityMap_ri.png,127.5073,-27.8839,0,0,1
02057_81.7608_-24.5328_VariabilityMap_ri.png,81.7608,-24.5328,0,0,1
01119_260.0981_-15.9465_VariabilityMap_ri.png,260.0981,-15.9465,0,0,1
01764_274.5257_6.2509_VariabilityMap_ri.png,274.5256,6.2509,0,0,1
01761_302.8718_-14.4043_VariabilityMap_ri.png,302.8718,-14.4043,0,0,1
01974_311.6357_27.8594_VariabilityMap_ri.png,311.6357,27.8594,0,0,1
02471_24.8891_35.4362_VariabilityMap_ri.png,24.8891,35.4362,0,0,1
01473_252.0490_-22.1843_VariabilityMap_ri.png,252.049,-22.1843,0,0,1
