,filename,RA,DEC,Lens,Unsure,Not_lens,variability_paths
0,01404_7.5823_-6.6409_VariabilityMap_ri.png,7.5823,-6.6409,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01404_7.5823_-6.6409/output/1404_7.5823_-6.6409_VariabilityMap_ri_normalized.fits
1,01813_299.9948_42.2296_VariabilityMap_ri.png,299.9948,42.2296,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01813_299.9948_42.2296/output/1813_299.9948_42.2296_VariabilityMap_ri_normalized.fits
2,01665_90.9712_-13.6344_VariabilityMap_ri.png,90.9712,-13.6344,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01665_90.9712_-13.6344/output/1665_90.9712_-13.6344_VariabilityMap_ri_normalized.fits
3,02422_130.9148_-7.8815_VariabilityMap_ri.png,130.9148,-7.8815,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/02422_130.9148_-7.8815/output/2422_130.9148_-7.8815_VariabilityMap_ri_normalized.fits
4,01169_225.7376_2.6549_VariabilityMap_ri.png,225.7376,2.6549,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/01169_225.7376_2.6549/output/1169_225.7376_2.6549_VariabilityMap_ri_normalized.fits
5,02507_211.1100_-25.4303_VariabilityMap_ri.png,211.11,-25.4303,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/02507_211.1100_-25.4303/output/2507_211.1100_-25.4303_VariabilityMap_ri_normalized.fits
6,00970_295.8893_33.5241_VariabilityMap_ri.png,295.8893,33.5241,0,1,0,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/00970_295.8893_33.5241/output/970_295.8893_33.5241_VariabilityMap_ri_normalized.fits
7,01345_321.8612_20.5577_VariabilityMap_ri.png,321.8612,20.5577,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/01345_321.8612_20.5577/output/1345_321.8612_20.5577_VariabilityMap_ri_normalized.fits
8,01933_352.8436_51.1917_VariabilityMap_ri.png,352.8436,51.1917,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01933_352.8436_51.1917/output/1933_352.8436_51.1917_VariabilityMap_ri_normalized.fits
9,00994_272.7080_9.1007_VariabilityMap_ri.png,272.70799999999997,9.1007,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/00994_272.7080_9.1007/output/994_272.7080_9.1007_VariabilityMap_ri_normalized.fits
10,01862_55.2862_39.0703_VariabilityMap_ri.png,55.2862,39.0703,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01862_55.2862_39.0703/output/1862_55.2862_39.0703_VariabilityMap_ri_normalized.fits
11,02171_276.2657_-12.7917_VariabilityMap_ri.png,276.2657,-12.7917,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/02171_276.2657_-12.7917/output/2171_276.2657_-12.7917_VariabilityMap_ri_normalized.fits
12,01140_102.6507_36.3719_VariabilityMap_ri.png,102.6507,36.3718,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/01140_102.6507_36.3719/output/1140_102.6507_36.3719_VariabilityMap_ri_normalized.fits
13,01218_74.5486_46.8597_VariabilityMap_ri.png,74.5485,46.8596,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/01218_74.5486_46.8597/output/1218_74.5486_46.8597_VariabilityMap_ri_normalized.fits
14,02482_246.3377_11.4530_VariabilityMap_ri.png,246.3377,11.453,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/02482_246.3377_11.4530/output/2482_246.3377_11.4530_VariabilityMap_ri_normalized.fits
15,01963_285.5463_-2.3220_VariabilityMap_ri.png,285.5462,-2.322,0,1,0,/mnt/FE867C3B867BF28F/diffpanstarrs3/01963_285.5463_-2.3220/output/1963_285.5463_-2.3220_VariabilityMap_ri_normalized.fits
16,01657_268.3017_-23.4309_VariabilityMap_ri.png,268.3017,-23.4309,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01657_268.3017_-23.4309/output/1657_268.3017_-23.4309_VariabilityMap_ri_normalized.fits
17,01353_283.2823_-17.5030_VariabilityMap_ri.png,283.2823,-17.503,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/01353_283.2823_-17.5030/output/1353_283.2823_-17.5030_VariabilityMap_ri_normalized.fits
18,02486_13.9757_58.3711_VariabilityMap_ri.png,13.9757,58.3711,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/02486_13.9757_58.3711/output/2486_13.9757_58.3711_VariabilityMap_ri_normalized.fits
19,01231_107.7048_7.0522_VariabilityMap_ri.png,107.7048,7.0522,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/01231_107.7048_7.0522/output/1231_107.7048_7.0522_VariabilityMap_ri_normalized.fits
20,01735_88.7028_-14.2186_VariabilityMap_ri.png,88.7028,-14.2186,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01735_88.7028_-14.2186/output/1735_88.7028_-14.2186_VariabilityMap_ri_normalized.fits
21,02299_267.5628_-26.6054_VariabilityMap_ri.png,267.5628,-26.6054,0,0,2,/mnt/FE867C3B867BF28F/diffpanstarrs3/02299_267.5628_-26.6054/output/2299_267.5628_-26.6054_VariabilityMap_ri_normalized.fits
22,00888_205.9593_-2.0247_VariabilityMap_ri.png,205.9593,-2.0247,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/00888_205.9593_-2.0247/output/888_205.9593_-2.0247_VariabilityMap_ri_normalized.fits
23,02437_296.9329_13.3641_VariabilityMap_ri.png,296.9329,13.3641,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/02437_296.9329_13.3641/output/2437_296.9329_13.3641_VariabilityMap_ri_normalized.fits
24,01707_144.6823_-19.8100_VariabilityMap_ri.png,144.6823,-19.81,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01707_144.6823_-19.8100/output/1707_144.6823_-19.8100_VariabilityMap_ri_normalized.fits
25,02193_299.2237_20.2044_VariabilityMap_ri.png,299.2237,20.2044,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/02193_299.2237_20.2044/output/2193_299.2237_20.2044_VariabilityMap_ri_normalized.fits
26,01828_310.5999_30.6041_VariabilityMap_ri.png,310.5999,30.6041,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01828_310.5999_30.6041/output/1828_310.5999_30.6041_VariabilityMap_ri_normalized.fits
27,01873_8.6608_49.0634_VariabilityMap_ri.png,8.6608,49.0634,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01873_8.6608_49.0634/output/1873_8.6608_49.0634_VariabilityMap_ri_normalized.fits
28,01597_289.3030_54.9103_VariabilityMap_ri.png,289.303,54.9103,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01597_289.3030_54.9103/output/1597_289.3030_54.9103_VariabilityMap_ri_normalized.fits
29,02452_298.1792_-11.2874_VariabilityMap_ri.png,298.1792,-11.2874,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/02452_298.1792_-11.2874/output/2452_298.1792_-11.2874_VariabilityMap_ri_normalized.fits
30,01459_108.5254_1.0522_VariabilityMap_ri.png,108.5254,1.0522,0,0,1,/mnt/FE867C3B867BF28F/diffpanstarrs3/01459_108.5254_1.0522/output/1459_108.5254_1.0522_VariabilityMap_ri_normalized.fits
31,00774_51.1088_38.7626_VariabilityMap_ri.png,51.1088,38.7626,0,0,1,/media/frederic/01CF3B90E9BF6E00/panstarrstrials2/00774_51.1088_38.7626/output/774_51.1088_38.7626_VariabilityMap_ri_normalized.fits
